Migrate?,Setup?,Type,Email,Display Name,Members,Email Aliases ,Delegates,Office Phone,Domain
yes,yes,Shared Mailbox,5star@tsscpa.com,5 Star,,,,,
yes,yes,Shared Calendar,company@tsscpa.com,Company,,,,,
yes,yes,Shared Mailbox,cpe@tss-cpa.com,CPE,,,,,
yes,yes,Room,downstairs2CR@tss-cpa.com,downstairs conference room 2,,,,,
yes,yes,Room,downstairsCR@tss-cpa.com,downstairs conference room,,,,,
yes,yes,Shared Mailbox,Ideas@tss-cpa.com,Ideas,,,,,
yes,yes,Shared Mailbox,info@tss-cpa.com,Info,,,,,
yes,yes,Shared Mailbox,it@tss-cpa.com,IT,aait@tss-cps.com,its@tss-cpa.com,,,
yes,yes,Shared Mailbox,jobreply@tss-cpa.com,Jobs Reply,,,,,
yes,yes,Room,libraryCR@tss-cpa.com,library,,,,,
yes,yes,Shared Mailbox,PE@tss-cpa.com,PE,,,,,
yes,yes,Shared Mailbox,Processing_Department@tss-cpa.com,Processing Department,,,,,
yes,yes,Shared Mailbox,service@tss-cpa.com,Services,,,,,
yes,yes,Room,upstairsCR@tss-cpa.com,upstairs conference room,,,,,
yes,yes,Room,VidCon_1@tss-cpa.com,VidCon_1,,,,,
yes,yes,Room,VidCon_2@tss-cpa.com,VidCon_2,,,,,
yes,yes,Room,VidCon_3@tss-cpa.com,VidCon_3,,,,,
yes,yes,Room,VidCon_4@tss-cpa.com,VidCon_4,,,,,
yes,yes,Room,VidCon_5@tss-cpa.com,VidCon_5,,,,,
yes,yes,Distribution Group - Universal,5_star_leaders@tss-cpa.com,5 Star Leaders,,,,,
yes,yes,Distribution Group - Universal,Equity@tss-cpa.com,Equity,,,,,
yes,yes,Distribution Group - Universal,Managers@tss-cpa.com,Managers,,,,,
yes,yes,Distribution Group - Universal,NagiosAlerts@tss-cpa.com,NagiosAlerts,,,,,
yes,yes,Distribution Group - Universal,Partners@tss-cpa.com,Partners,,,,,
yes,yes,Distribution Group - Universal,PPC_Users@tss-cpa.com,PPC Users,,,,,
yes,yes,Distribution Group - Universal,Tax_Group@tss-cpa.com,TSS Tax Group,,,,,
yes,yes,Distribution Group - Universal,TSS_AA@tss-cpa.com,TSS A&A,,,,,
yes,yes,Distribution Group - Universal,TSS_Admin_Staff@tss-cpa.com,TSS Admin Staff,,,,,
yes,yes,Distribution Group - Universal,TSS_Tax_Processing@tss-cpa.com,TSS Tax Processing,,,,,
yes,yes,Dynamic DG,ALLTSS@tss-cpa.com,All TSS,,,,,
