location,driverName,ip,color
Agawam ,TOSHIBA Universal Printer 2,192.168.20.90 ,Color
Attleboro ,TOSHIBA Universal Printer 2,10.10.16.150,Color
Bourne ,Xerox Global Print Driver PCL6,192.168.33.200 ,Color
Clearview ,Xerox Global Print Driver PCL6,192.168.141.5 ,Color
Fitchburg (Busin. Office) ,TOSHIBA Universal Printer 2,10.10.15.105 ,Color
Fitchburg House ,TOSHIBA Universal Printer 2,10.10.112.103 ,Color
Lakeville ,Xerox Global Print Driver PCL6,192.168.35.110 ,Color
Leicester ,Xerox Global Print Driver PCL6,192.168.28.90 ,Color
Leominster ,Xerox Global Print Driver PCL6,192.168.25.91,Color
New Bedford ,Xerox Global Print Driver PCL6,192.168.64.100 ,Color
Southwick ,Xerox Global Print Driver PCL6,192.168.21.2 ,Color
Templeton Upstairs,TOSHIBA Universal Printer 2,10.10.120.21,Color
Templeton Downstairs,TOSHIBA Universal Printer 2,10.10.120.22,Color
Westfield ,Xerox Global Print Driver PCL6,192.168.37.90 ,Color
Westminster ,HP Universal Printing PCL 6,10.10.114.40 ,Color
Wilbraham ,TOSHIBA Universal Printer 2,192.168.22.50 ,Color
Winchendon ,HP Universal Printing PCL 6,192.168.15.111 ,Color
Bethlehem Admin Office ,KX DRIVER for Universal Printing,192.168.125.200 ,Color
Bethlehem Carriage House ,Xerox Global Print Driver PCL6,192.168.125.90 ,Color
Bethlehem Main House ,TOSHIBA Universal Printer 2,192.168.125.105 ,Color
Doe Drive,TOSHIBA Universal Printer 2,192.168.124.22 ,Color
Hampton,TOSHIBA Universal Printer 2,10.10.172.61,Color
Stag Dr Kyocera,KX DRIVER for Universal Printing,10.1.7.123,Color
Fitchburg Nathan's office ,TOSHIBA Universal Printer 2,10.10.15.128 ,Color
