location,driverName,ip,color
Warren/Baker House,TOSHIBA Universal Printer 2,10.10.4.253,Color
Campton Rita's Office,KX DRIVER for Universal Printing,10.10.2.242,Color
Campton ,Kyocera TASKalfa 3501i,10.10.2.222,Color
Step Office,Kyocera ECOSYS M2535dn KX,10.10.2.220,Color
Depot St ,TOSHIBA Universal Printer 2,10.10.24.129,Color
Plymouth Admin ,Kyocera TASKalfa 5551ci KX,10.10.1.210,Color
Plymouth Res ,Kyocera TASKalfa 4501i,10.10.1.190 ,Color
Plymouth Academic Office,TOSHIBA Universal Printer 2,10.10.1.31,Color
Plymouth WendyW,TOSHIBA Universal Printer 2,10.10.1.153,Color
Plymouth Med Office,TOSHIBA Universal Printer 2,10.10.1.154,Color
