customerId,account,customerAbbreviation,domain,wifi,install_these,pathToSetupFolder,pathToPrinterConfig
1,AllAccess Inventory,AAINV,None,,,,
102,AAIT Office,AAO,allaccess365.com,AAITWNET,,\\192.168.1.24\technet\Setup_Workstations\Setup_AllAccess_Workstation\,
107,Aloha Foundation,Aloha,alohafoundation.local,,,\\192.168.1.24\technet\Setup_Workstations\Setup_AlohaCamp_Workstation\,
108,ARC Mechanical,ARC,arc.local,,,\\192.168.1.24\technet\Setup_Workstations\Setup_ARC_Workstation\,
2,Becket Inventory,BINV,AzureAd,,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,
118,Becket MA,BMA,AzureAd,BAWLAN-MA,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_BecketMA.csv
119,Becket ME,BME,AzureAd,BAWLAN,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_BecketME.csv
120,Becket NH,BNH,AzureAd,BAWLAN-DOE,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\InstallPrinters_BecketNH.csv
150,The Family Place,FP,THEFAMILYPLACE.org,,,\\192.168.1.24\technet\Setup_Workstations\Setup_FamilyPlace_Workstation\,
105,Lake Morey Resort,LMR,LAKEMOREYRESORT.local,,,\\192.168.1.24\technet\Setup_Workstations\Setup_LakeMorey_WorkStation\,
121,Mount Prospect Academy,MPA,AzureAd,"CAMPTONMPAWNET, MPA-PLYMOUTH",,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_MPA.csv
146,MPA Community ,MPAC,AzureAd,MPAWNET,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_MPAC.csv
123,MVTC,MVTC,AzureAd,CWNET,,\\192.168.1.24\technet\Setup_Workstations\Setup_MVTC_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_MVTC.csv
189,Norwich Partners,NP,Local Domain,,,\\192.168.1.24\technet\Setup_Workstations\Setup_NorwichPartners_Workstation\,
178,Becket Orford,Orford,Becket.Orford.local,BAWLAN,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,
104,Radiantec,RAD,,,,\\192.168.1.24\technet\Setup_Workstations\Setup_Radiantec_WorkStation\,
191,Becket House at Rumney,RUMN,AzureAd,BAWLAN,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,
159,Stebbins Bradley,SB,,,,\\192.168.1.24\technet\Setup_Workstations\Setup_Stebbins_Workstation\,
124,Signal Quest,SQ,,,,\\192.168.1.24\technet\Setup_Workstations\Setup_SQ_WorkStation\,
106,St J Dental,STJD,STJDENTAL,,,\\192.168.1.24\technet\Setup_Workstations\Setup_Workstations\Setup_StJ_Workstation\,
195,Seacoast Treatment & Stabilization Center,STSC,AzureAd,BAWLAN,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,
112,Town of Bradford,TOB,BRADFORD,,,\\192.168.1.24\technet\Setup_Workstations\Setup_ToBradford_Workstation\,
113,Town of Fairlee,TOF,FAIRLEE,,,\\192.168.1.24\technet\Setup_Workstations\Setup_ToFairlee_Workstation\,
192,Upper Vallery Stewardship Center,UVSC,AzureAd,CWNET,,\\192.168.1.24\technet\Setup_Workstations\Setup_UVLT_Workstation\,
122,VPI North,VPIN,AzureAd,MPAWNET,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,\\192.168.1.24\technet\Scripts\setupConfigs\config_Printers_VPINorth.csv
176,Becket VTSS,VTSS,AzureAd,BAWLAN,,\\192.168.1.24\technet\Setup_Workstations\Setup_Becket_Workstation\,
186,White River Family Eyecare,WRFE,BERNAL,,,\\192.168.1.24\technet\Setup_Workstations\Setup_WRFamilyEyecare_Workstation\,
